pokemon_code,pokemon_name,pokemon_type_1,pokemon_type_2,high_point,attack_force,defense_point,special_attack_force,special_defense_point,speed,generation,legendary,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_happiness,base_total,capture_rate,classfication,percentage_male,experience_growth,height_m,weight_kg,pokedex_number
24,Mega Pidgeot,Normal,Flying,83,80,80,135,80,121,1,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,579,45,Bird Pokémon,50,1059860,1.5,39.5,18
25,Rattata,Normal,,30,56,35,25,35,72,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,253,255,Mouse Pokémon,50,1000000,,,19
26,Raticate,Normal,,55,81,60,50,70,97,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3840,70,413,127,Mouse Pokémon,50,1000000,,,20
27,Spearow,Normal,Flying,40,60,30,31,31,70,1,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,262,255,Tiny Bird Pokémon,50,1000000,0.3,2,21
28,Fearow,Normal,Flying,65,90,65,61,61,100,1,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,3840,70,442,90,Beak Pokémon,50,1000000,1.2,38,22
29,Ekans,Poison,,35,60,44,40,54,55,1,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,288,255,Snake Pokémon,50,1000000,2,6.9,23
30,Arbok,Poison,,60,85,69,65,79,80,1,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,448,90,Cobra Pokémon,50,1000000,3.5,65,24
31,Pikachu,Electric,,35,55,40,50,50,90,1,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,2560,70,320,190,Mouse Pokémon,50,1000000,0.4,6,25
32,Raichu,Electric,,60,90,55,90,80,110,1,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,2560,70,485,75,Mouse Pokémon,50,1000000,,,26
33,Sandshrew,Ground,,50,75,85,20,30,40,1,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,300,255,Mouse Pokémon,50,1000000,,,27
34,Sandslash,Ground,,75,100,110,45,55,65,1,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,450,90,Mouse Pokémon,50,1000000,,,28
35,Nidoran♀,Poison,,55,47,52,40,40,41,1,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,275,235,Poison Pin Pokémon,0,1059860,0.4,7,29
36,Nidorina,Poison,,70,62,67,55,55,56,1,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,365,120,Poison Pin Pokémon,0,1059860,0.8,20,30
37,Nidoqueen,Poison,Ground,90,92,87,75,85,76,1,0,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,5120,70,505,45,Drill Pokémon,0,1059860,1.3,60,31
38,Nidoran♂,Poison,,46,57,40,40,40,50,1,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,273,235,Poison Pin Pokémon,100,1059860,0.5,9,32
39,Nidorino,Poison,,61,72,57,55,55,65,1,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,365,120,Poison Pin Pokémon,100,1059860,0.9,19.5,33
40,Nidoking,Poison,Ground,81,102,77,85,75,85,1,0,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,5120,70,505,45,Drill Pokémon,100,1059860,1.4,62,34
41,Clefairy,Fairy,,70,45,48,60,65,35,1,0,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,140,323,150,Fairy Pokémon,24.6,800000,0.6,7.5,35
42,Clefable,Fairy,,95,70,73,95,90,60,1,0,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,2560,140,483,25,Fairy Pokémon,24.6,800000,1.3,40,36
43,Vulpix,Fire,,38,41,40,50,65,65,1,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,299,190,Fox Pokémon,24.6,1000000,,,37
44,Ninetales,Fire,,73,76,75,81,100,100,1,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,505,75,Fox Pokémon,24.6,1000000,,,38
45,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,1,0,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,70,270,170,Balloon Pokémon,24.6,800000,0.5,5.5,39
46,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,1,0,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,2560,70,435,50,Balloon Pokémon,24.6,800000,1,12,40
47,Zubat,Poison,Flying,40,45,35,30,40,55,1,0,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,3840,70,245,255,Bat Pokémon,50,1000000,0.8,7.5,41
48,Golbat,Poison,Flying,75,80,70,65,75,90,1,0,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,3840,70,455,90,Bat Pokémon,50,1000000,1.6,55,42
49,Oddish,Grass,Poison,45,50,55,75,65,30,1,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,320,255,Weed Pokémon,50,1059860,0.5,5.4,43
50,Gloom,Grass,Poison,60,65,70,85,75,40,1,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,395,120,Weed Pokémon,50,1059860,0.8,8.6,44
51,Vileplume,Grass,Poison,75,80,85,110,90,50,1,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,490,45,Flower Pokémon,50,1059860,1.2,18.6,45
52,Paras,Bug,Grass,35,70,55,45,55,25,1,0,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,5120,70,285,190,Mushroom Pokémon,50,1000000,0.3,5.4,46
53,Parasect,Bug,Grass,60,95,80,60,80,30,1,0,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,5120,70,405,75,Mushroom Pokémon,50,1000000,1,29.5,47
54,Venonat,Bug,Poison,60,55,50,40,55,45,1,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,5120,70,305,190,Insect Pokémon,50,1000000,1,30,48
55,Venomoth,Bug,Poison,70,65,60,90,75,90,1,0,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,5120,70,450,75,Poison Moth Pokémon,50,1000000,1.5,12.5,49
56,Diglett,Ground,,10,55,25,35,45,95,1,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,265,255,Mole Pokémon,50,1000000,,,50
57,Dugtrio,Ground,,35,80,50,50,70,120,1,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,425,50,Mole Pokémon,50,1000000,,,51
58,Meowth,Normal,,40,45,35,40,40,90,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,290,255,Scratch Cat Pokémon,50,1000000,,,52
59,Persian,Normal,,65,70,60,65,65,115,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,440,90,Classy Cat Pokémon,50,1000000,,,53
60,Psyduck,Water,,50,52,48,65,50,55,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,320,190,Duck Pokémon,50,1000000,0.8,19.6,54
61,Golduck,Water,,80,82,78,95,80,85,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,500,75,Duck Pokémon,50,1000000,1.7,76.6,55
62,Mankey,Fighting,,40,80,35,35,45,70,1,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,305,190,Pig Monkey Pokémon,50,1000000,0.5,28,56
63,Primeape,Fighting,,65,105,60,60,70,95,1,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,455,75,Pig Monkey Pokémon,50,1000000,1,32,57
64,Growlithe,Fire,,55,70,45,70,50,60,1,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,350,190,Puppy Pokémon,75.4,1250000,0.7,19,58
65,Arcanine,Fire,,90,110,80,100,80,95,1,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,555,75,Legendary Pokémon,75.4,1250000,1.9,155,59
66,Poliwag,Water,,40,50,40,40,40,90,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,300,255,Tadpole Pokémon,50,1059860,0.6,12.4,60
67,Poliwhirl,Water,,65,65,65,50,50,90,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,385,120,Tadpole Pokémon,50,1059860,1,20,61
68,Poliwrath,Water,Fighting,90,95,95,70,90,70,1,0,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,5120,70,510,45,Tadpole Pokémon,50,1059860,1.3,54,62
69,Abra,Psychic,,25,20,15,105,55,90,1,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,310,200,Psi Pokémon,75.4,1059860,0.9,19.5,63
70,Kadabra,Psychic,,40,35,30,120,70,105,1,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,400,100,Psi Pokémon,75.4,1059860,1.3,56.5,64
71,Alakazam,Psychic,,55,50,45,135,95,120,1,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,600,50,Psi Pokémon,75.4,1059860,1.5,48,65
72,Mega Alakazam,Psychic,,55,50,65,175,95,150,1,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,600,50,Psi Pokémon,75.4,1059860,1.5,48,65
73,Machop,Fighting,,70,80,50,35,35,35,1,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,305,180,Superpower Pokémon,75.4,1059860,0.8,19.5,66
74,Machoke,Fighting,,80,100,70,50,60,45,1,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,405,90,Superpower Pokémon,75.4,1059860,1.5,70.5,67
75,Machamp,Fighting,,90,130,80,65,85,55,1,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,5120,70,505,45,Superpower Pokémon,75.4,1059860,1.6,130,68
76,Bellsprout,Grass,Poison,50,75,35,70,30,40,1,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,300,255,Flower Pokémon,50,1059860,0.7,4,69
77,Weepinbell,Grass,Poison,65,90,50,85,45,55,1,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,390,120,Flycatcher Pokémon,50,1059860,1,6.4,70
78,Victreebel,Grass,Poison,80,105,65,100,70,70,1,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,5120,70,490,45,Flycatcher Pokémon,50,1059860,1.7,15.5,71
79,Tentacool,Water,Poison,40,40,35,50,100,70,1,0,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,5120,70,335,190,Jellyfish Pokémon,50,1250000,0.9,45.5,72
80,Tentacruel,Water,Poison,80,70,65,80,120,100,1,0,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,5120,70,515,60,Jellyfish Pokémon,50,1250000,1.6,55,73
81,Geodude,Rock,Ground,40,80,100,30,30,20,1,0,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,3840,70,300,255,Rock Pokémon,50,1059860,,,74
82,Graveler,Rock,Ground,55,95,115,45,45,35,1,0,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,3840,70,390,120,Rock Pokémon,50,1059860,,,75
83,Golem,Rock,Ground,80,120,130,55,65,45,1,0,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,3840,70,495,45,Megaton Pokémon,50,1059860,,,76
84,Ponyta,Fire,,50,85,55,65,65,90,1,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,410,190,Fire Horse Pokémon,50,1000000,1,30,77
85,Rapidash,Fire,,65,100,70,80,80,105,1,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,5120,70,500,60,Fire Horse Pokémon,50,1000000,1.7,95,78
86,Slowpoke,Water,Psychic,90,65,65,40,40,15,1,0,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,70,315,190,Dopey Pokémon,50,1000000,1.2,36,79
87,Slowbro,Water,Psychic,95,75,110,100,80,30,1,0,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,70,590,75,Hermit Crab Pokémon,50,1000000,1.6,78.5,80
88,Mega Slowbro,Water,Psychic,95,75,180,130,80,30,1,0,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,5120,70,590,75,Hermit Crab Pokémon,50,1000000,1.6,78.5,80
89,Magnemite,Electric,Steel,25,35,70,95,55,45,1,0,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,5120,70,325,190,Magnet Pokémon,,1000000,0.3,6,81
90,Magneton,Electric,Steel,50,60,95,120,70,70,1,0,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,5120,70,465,60,Magnet Pokémon,,1000000,1,60,82
91,Farfetch d,Normal,Flying,52,65,55,58,62,60,1,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,70,377,45,Wild Duck Pokémon,50,1000000,0.8,15,83
92,Doduo,Normal,Flying,35,85,45,35,35,75,1,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,70,310,190,Twin Bird Pokémon,50,1000000,1.4,39.2,84
93,Dodrio,Normal,Flying,60,110,70,60,60,100,1,0,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,5120,70,470,45,Triple Bird Pokémon,50,1000000,1.8,85.2,85
94,Seel,Water,,65,45,55,45,70,45,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,325,190,Sea Lion Pokémon,50,1000000,1.1,90,86
95,Dewgong,Water,Ice,90,70,80,70,95,70,1,0,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,5120,70,475,75,Sea Lion Pokémon,50,1000000,1.7,120,87
96,Grimer,Poison,,80,80,50,40,50,25,1,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,325,190,Sludge Pokémon,50,1000000,,,88
97,Muk,Poison,,105,105,75,65,100,50,1,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,500,75,Sludge Pokémon,50,1000000,,,89
98,Shellder,Water,,30,65,100,45,25,40,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,305,190,Bivalve Pokémon,50,1250000,0.3,4,90
99,Cloyster,Water,Ice,50,95,180,85,45,70,1,0,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,5120,70,525,60,Bivalve Pokémon,50,1250000,1.5,132.5,91
100,Gastly,Ghost,Poison,30,35,30,100,35,80,1,0,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,70,310,190,Gas Pokémon,50,1059860,1.3,0.1,92
101,Haunter,Ghost,Poison,45,50,45,115,55,95,1,0,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,70,405,90,Gas Pokémon,50,1059860,1.6,0.1,93
102,Gengar,Ghost,Poison,60,65,60,130,75,110,1,0,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,70,600,45,Shadow Pokémon,50,1059860,1.5,40.5,94
103,Mega Gengar,Ghost,Poison,60,65,80,170,95,130,1,0,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,5120,70,600,45,Shadow Pokémon,50,1059860,1.5,40.5,94
104,Onix,Rock,Ground,35,45,160,30,45,70,1,0,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,6400,70,385,45,Rock Snake Pokémon,50,1000000,8.8,210,95
105,Drowzee,Psychic,,60,48,45,43,90,42,1,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,328,190,Hypnosis Pokémon,50,1000000,1,32.4,96
106,Hypno,Psychic,,85,73,70,73,115,67,1,0,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,5120,70,483,75,Hypnosis Pokémon,50,1000000,1.6,75.6,97
107,Krabby,Water,,30,105,90,25,25,50,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,325,225,River Crab Pokémon,50,1000000,0.4,6.5,98
108,Kingler,Water,,55,130,115,50,50,75,1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,5120,70,475,60,Pincer Pokémon,50,1000000,1.3,60,99
109,Voltorb,Electric,,40,30,50,55,55,100,1,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,70,330,190,Ball Pokémon,,1000000,0.5,10.4,100
110,Electrode,Electric,,60,50,70,80,80,140,1,0,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,5120,70,490,60,Ball Pokémon,,1000000,1.2,66.6,101
111,Exeggcute,Grass,Psychic,60,40,80,60,45,40,1,0,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,5120,70,325,90,Egg Pokémon,50,1250000,0.4,2.5,102
112,Exeggutor,Grass,Psychic,95,95,85,125,65,55,1,0,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,5120,70,530,45,Coconut Pokémon,50,1250000,,,103
113,Cubone,Ground,,50,50,95,40,50,35,1,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,320,190,Lonely Pokémon,50,1000000,0.4,6.5,104
114,Marowak,Ground,,60,80,110,50,80,45,1,0,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,5120,70,425,75,Bone Keeper Pokémon,50,1000000,,,105
115,Hitmonlee,Fighting,,50,120,53,35,110,87,1,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,6400,70,455,45,Kicking Pokémon,100,1000000,1.5,49.8,106
116,Hitmonchan,Fighting,,50,105,79,35,110,76,1,0,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,6400,70,455,45,Punching Pokémon,100,1000000,1.4,50.2,107
117,Lickitung,Normal,,90,55,75,60,75,30,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,385,45,Licking Pokémon,50,1000000,1.2,65.5,108
118,Koffing,Poison,,40,65,95,60,45,35,1,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,340,190,Poison Gas Pokémon,50,1000000,0.6,1,109
119,Weezing,Poison,,65,90,120,85,70,60,1,0,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,5120,70,490,60,Poison Gas Pokémon,50,1000000,1.2,9.5,110
120,Rhyhorn,Ground,Rock,80,85,95,30,30,25,1,0,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,5120,70,345,120,Spikes Pokémon,50,1250000,1,115,111
121,Rhydon,Ground,Rock,105,130,120,45,45,40,1,0,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,5120,70,485,60,Drill Pokémon,50,1250000,1.9,120,112
122,Chansey,Normal,,250,5,5,35,105,50,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,10240,140,450,30,Egg Pokémon,0,800000,1.1,34.6,113
123,Tangela,Grass,,65,55,115,100,40,60,1,0,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,5120,70,435,45,Vine Pokémon,50,1000000,1,35,114
124,Kangaskhan,Normal,,105,95,80,40,80,90,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,590,45,Parent Pokémon,0,1000000,2.2,80,115
125,Mega Kangaskhan,Normal,,105,125,100,60,100,100,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5120,70,590,45,Parent Pokémon,0,1000000,2.2,80,115
